"filename","city","state","lat","lon","correct_city","quality","confidence","landmarks","architecture","signs","nature","urban","beach","people","vehicles","text","custom_tags","notes","annotated_at","annotated_by"
"wikimedia_Ciudad de México_CDMX_1_1764045645.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",3,90,False,True,False,False,True,False,False,True,False,"arquitectura moderna,edificios altos,ciudad,paisaje urbano,calles,cielo","La imagen muestra una vista panorámica de la Ciudad de México, destacando su arquitectura moderna y un entorno urbano con calles y edificios altos. Se aprecian detalles de la vida citadina.","2025-11-25T07:06:02.623754","Emma"
"wikimedia_Ciudad de México_CDMX_7_1764045658.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",3,90,False,True,False,False,True,False,False,False,False,"arquitectura moderna,edificios altos,ciudad,paisaje urbano,fachadas,rascacielos","La imagen muestra un primer plano de varios edificios modernos y altos en un entorno urbano, destacando sus fachadas y el contraste de sus diseños.","2025-11-25T07:07:47.772169","Emma"
"wikimedia_Ciudad de México_CDMX_2_1764045647.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",3,85,False,True,False,False,False,False,False,False,False,"biblioteca,libros,estanterías,arquitectura interior,profundidad,perspectiva,pabellón","La imagen muestra un largo pasillo entre estanterías de libros, creando una fuerte sensación de profundidad y perspectiva. Es una vista interior de una biblioteca o archivo grande.","2025-11-25T07:16:32.692669","Emma"
"wikimedia_Ciudad de México_CDMX_8_1764045660.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",3,95,True,True,False,False,False,False,False,False,False,"arquitectura barroca,torre,campanario,colonial,cielo azul,detalle arquitectónico,deteriorado,cantera","Primer plano de una torre de piedra (posiblemente un campanario) de estilo barroco o colonial. Se aprecian detalles ornamentados y signos de deterioro o antigüedad, con vegetación creciendo en la cima. Fondo de cielo azul claro.","2025-11-25T07:18:26.606953","Emma"
"wikimedia_Ciudad de México_CDMX_9_1764045662.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",4,90,True,True,False,False,False,False,False,False,False,"interior de iglesia,templo,nave,altar,arquitectura religiosa,bóvedas,arte sacro,bancos de madera,iluminación","La imagen captura el interior de una iglesia o capilla. Muestra la nave central con filas de bancas de madera, grandes arcos y una iluminación que proyecta tonos azules y morados en las bóvedas, destacando el altar al fondo","2025-11-25T07:23:16.353065","Emma"
"wikimedia_Ciudad de México_CDMX_11_1764045665.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",4,100,True,True,False,False,True,False,False,False,False,"arquitectura moderna,museo Soumaya,rascacielos,diseño curvo,fachada metálica,hexágonos,edificio icónico,CDMX","Primer plano del Museo Soumaya, un edificio de arquitectura moderna e icónica en la Ciudad de México. Se destaca su forma curvada y la fachada recubierta con miles de hexágonos metálicos","2025-11-25T07:23:58.801134","Emma"
"wikimedia_Ciudad de México_CDMX_13_1764045671.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",4,90,True,True,False,False,False,False,False,False,False,"cúpula,techo,arquitectura interior,Art Decó,art nouveau,vidriera,tragaluz,iluminación,diseño circular,ornamento","Vista cenital del techo interior o cúpula. El diseño es circular, probablemente un tragaluz o vitral, enmarcado por arquitectura de estilo clásico con una fuerte iluminación dorada en las paredes circundantes","2025-11-25T07:24:45.487308","Emma"
"wikimedia_Ciudad de México_CDMX_10_1764045664.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",5,100,True,True,False,True,True,False,True,True,False,"Palacio de Bellas Artes,arquitectura monumental,cúpula,centro histórico,paisaje urbano,vista aérea,parque,ciudad,monumento","Vista aérea o desde un edificio alto del Palacio de Bellas Artes en CDMX, mostrando su icónica cúpula de colores naranja y amarillo. La imagen captura el contexto urbano circundante, incluyendo calles, tráfico y áreas verdes adyacentes al edificio","2025-11-25T07:26:18.967648","Emma"
"wikimedia_Ciudad de México_CDMX_14_1764045673.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",4,95,True,True,False,True,False,False,False,False,False,"arquitectura colonial,campanario,torre,iglesia,ladrillo,tezontle,deterioro,barroco,vegetación,cielo","Detalle de una torre o campanario colonial, probablemente construido con ladrillo o piedra volcánica roja (tezontle). La estructura muestra signos de antigüedad y deterioro, con abundante vegetación creciendo en la parte superior. El cielo es de un tono claro o blanco","2025-11-25T07:27:03.576757","Emma"
"wikimedia_Ciudad de México_CDMX_12_1764045669.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",4,100,True,True,False,False,False,False,False,False,False,"Palacio Postal,arquitectura interior,tragaluz,techo de cristal,art nouveau,detalles arquitectónicos,ornamento,herrería,CDMX","Vista cenital del impresionante tragaluz de cristal y herrería en el techo del Palacio Postal en la Ciudad de México. La arquitectura de estilo Art Nouveau está fuertemente detallada en el marco interior.","2025-11-25T07:29:01.657818","Emma"
"pexels_Ciudad de México_CDMX_1_1764045677.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"❌",4,100,False,True,False,True,True,False,False,True,False,"Monterrey,Cerro de la Silla,paisaje urbano,rascacielos,montaña,sierra,ciudad,vista panorámica,arquitectura moderna","Vista panorámica de la ciudad de Monterrey, Nuevo León, con el icónico Cerro de la Silla en el centro de la escena. Se observa una mezcla de rascacielos modernos y zonas residenciales, con una zona de festival o evento en la parte baja central. NOTA: La ciudad en la imagen es Monterrey, no CDMX, a pesar de lo que indica la metadata adjunta.","2025-11-25T07:30:08.853263","Emma"
"pexels_Ciudad de México_CDMX_3_1764045679.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"✅",4,95,False,True,False,True,True,False,True,False,True,"manifestación,protesta,marcha,mujeres,feminismo,morado,letrero,activismo,gente,multitud,urbano,CDMX","Una toma de una manifestación o marcha, con un grupo de mujeres vistiendo ropa morada. El letrero visible lleva un mensaje de protesta. El evento se desarrolla en un contexto urbano, con árboles y edificios altos visibles al fondo.","2025-11-25T07:30:59.795657","Emma"
"wikimedia_Guadalajara_Jalisco_1_1764045686.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",4,100,True,True,False,False,True,False,False,False,False,"Guadalajara,Jalisco,catedral,arquitectura gótica,neogótico,blanco y negro,nocturna,torres,iglesia,monumento,ciudad","Toma en blanco y negro de una de las torres de la Catedral de Guadalajara, Jalisco, iluminada de noche. Se aprecia el estilo arquitectónico gótico o neogótico","2025-11-25T07:31:42.857770","Emma"
"wikimedia_Guadalajara_Jalisco_5_1764045693.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",4,100,True,True,False,True,True,False,False,False,False,"Glorieta Minerva,estatua,monumento,nocturna,iluminación,arquitectura urbana,Jalisco,escultura,paisaje nocturno","La estatua de La Minerva en Guadalajara, Jalisco, vista de noche. La toma captura el monumento iluminado en su base de fuente, con un fuerte contraste de colores debido a la iluminación artificial y las plantas","2025-11-25T07:32:25.636101","Emma"
"wikimedia_Guadalajara_Jalisco_7_1764045695.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"✅",4,95,True,False,False,True,True,False,False,False,False,"estatua,escultura,monumento,figura ecuestre,personaje histórico,aire libre,cielo azul,pedestal,jardín","Estatua ecuestre de un personaje histórico (a caballo) en Guadalajara, Jalisco. La imagen está tomada a la altura del monumento contra el fondo de cielo azul y un poco de vegetación.","2025-11-25T07:33:09.997335","Emma"
"pexels_Ciudad de México_CDMX_2_1764045678.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"🤔",3,95,False,True,True,False,True,False,False,False,True,"hotel,arquitectura moderna,fachada de piedra,ventanas,edificio de oficinas,urbano,CDMX,letrero","Primer plano de un edificio hotelero o de oficinas de arquitectura moderna con fachada de bloques de piedra. La toma se centra en la repetición de las ventanas cuadradas. El logo de 'One' es visible en la esquina inferior izquierda.","2025-11-25T07:35:55.454164","Emma"
"pexels_Ciudad de México_CDMX_4_1764045680.jpg","Ciudad de México","CDMX",19.432608,-99.133209,"🤔",2,85,True,True,False,False,True,False,True,False,False,"retrato,mujer,noche,iluminación,luces de hadas,edificio histórico,arquitectura clásica,fotografía,retrato urbano","Retrato de una mujer en primer plano de noche. Sostiene luces de hadas que proporcionan el foco y la iluminación principal. El fondo desenfocado muestra un gran edificio con arquitectura de estilo clásico, fuertemente iluminado, sugiriendo una localización en el centro de una ciudad grande.","2025-11-25T07:41:17.608259","Emma"
"wikimedia_Guadalajara_Jalisco_6_1764045694.jpg","Guadalajara","Jalisco",20.659699,-103.349609,"🤔",3,95,True,True,False,False,False,False,False,False,False,"arquitectura colonial,arcos,pórtico,claustro,columnas de piedra,piso de ladrillo,adoquín,muro blanco,patio,entrada","Una vista de un pórtico o claustro colonial, con arcos de piedra que descansan sobre columnas robustas. La pared de fondo es blanca y contrasta con el techo de vigas de madera. El piso es de baldosas de terracota bajo el pórtico y de adoquines en el exterior.","2025-11-25T07:42:14.164268","Emma"
